음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
,,,,아이엠베이글 공덕점,서울 마포구 공덕동 476,3.6304932,캡션서울,서울 용산구 원효로1가 28-3,밤섬,서울 영등포구 여의도동 84-3,글래드 마포,호텔,3.5548587,서울 마포구 도화동 25-13
원마산 아구찜 본관,한식,3.5870786,서울 마포구 용강동 116-5,투썸플레이스 마포대로점,서울 마포구 도화동 573,3.6304932,DMZ문화원,서울 마포구 공덕동 404,서울명예도로 남이장군로,서울 용산구 신창동 56-1,넘버25호텔 신촌점,모텔,0.7619837,서울 마포구 노고산동 106-10
원마산 아구찜 본관,한식,3.5870786,서울 마포구 용강동 116-5,도화아파트먼트 마포,서울 마포구 도화동 346-2,3.6304932,서강대학교메리홀 소극장,서울 마포구 신수동 1-1,밤섬,서울 영등포구 여의도동 84-3,호텔 나루 서울 엠갤러리,호텔,3.5548587,서울 마포구 마포동 450
,,,,스타벅스 공덕점,서울 마포구 공덕동 254-8,3.6304932,식민지역사박물관,서울 용산구 청파동2가 42-8,석진숲,서울 영등포구 여의도동 85-6,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
마포나루 아크로점,한식,3.5870786,서울 마포구 도화동 563,스타벅스 마포염리점,서울 마포구 염리동 168-9,3.6304932,한예진아트홀,서울 서대문구 대현동 67-11,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,서울큐브이화,게스트하우스,tensor(1.7619),서울 마포구 염리동 9-124
,,,,메가MGC커피 공덕SK리더스뷰점,서울 마포구 공덕동 426-15,3.6304932,예스24 원더로크홀,서울 서대문구 창천동 20-25,도화동상점가,서울 마포구 도화동 179-5,신라스테이 마포,호텔,3.5548587,서울 마포구 도화동 570
몽중헌 공덕점,중식,3.51586,서울 마포구 도화동 25-13,스타벅스 공덕오거리점,서울 마포구 도화동 22,3.6304932,한국미술역사관,서울 마포구 신정동 30,공덕소담길,서울 마포구 공덕동,글래드 마포,호텔,3.5548587,서울 마포구 도화동 25-13
,,,,메가MGC커피 공덕오거리점,서울 마포구 도화동 181-1,3.6304932,백범김구기념관,서울 용산구 효창동 255,밤섬,서울 영등포구 여의도동 84-3,호텔S,모텔,0.7619837,서울 마포구 노고산동 109-154
,,,,공차 마포역점,서울 마포구 도화동 555,3.6304932,마포아트센터 스튜디오3,서울 마포구 대흥동 30-3,공덕소담길,서울 마포구 공덕동,Y호텔,모텔,0.7619837,서울 마포구 노고산동 106-46
일일향 마포점,중식,3.51586,서울 마포구 도화동 179-2,경성커피,서울 마포구 도화동 201-43,3.6304932,CJ아지트 광흥창,서울 마포구 신정동 96-29,마포전골목,서울 마포구 공덕동,앰배서더호텔 이비스스타일 서울용산,호텔,3.5548587,서울 용산구 한강로3가 40-969
