음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
,,,,카페겟앤쇼 공덕점,서울 마포구 도화동 572,3.5703058,스페이스간,서울 마포구 염리동 147-2,와우산,서울 마포구 창전동 3-243,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
,,,,브루니치,서울 마포구 공덕동 476,3.5703058,KP갤러리온,서울 마포구 용강동 43-6,홍대땡땡거리,서울 마포구 동교동 190-1,롯데시티호텔 마포,호텔,3.5273962,서울 마포구 공덕동 467
엄마손칼국수,한식,3.551354,서울 마포구 대흥동 241-26,스타벅스 마포용강동점,서울 마포구 용강동 112-2,3.5703058,CJ아지트 광흥창,서울 마포구 신정동 96-29,마포전골목,서울 마포구 공덕동,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
신촌즉석생우동,일식,3.3697042,서울 마포구 대흥동 801-13,더파이홀,서울 서대문구 창천동 57-61,3.5703058,마포아트센터 플레이맥,서울 마포구 대흥동 30-3,신촌피아노거리,서울 서대문구 창천동 30-16,피터캣,모텔,0.7923341,서울 마포구 노고산동 106-25
매일스시횟집,일식,3.3697042,서울 마포구 염리동 95-1,나이스 워크 투데이,서울 마포구 신수동 35-8,3.5703058,원픽홀,서울 마포구 노고산동 31-39,밤섬,서울 영등포구 여의도동 84-3,H에비뉴호텔 신촌이대점,호텔,3.5273962,서울 마포구 노고산동 1-74
,,,,비엔나커피하우스 마포신한디엠점,서울 마포구 마포동 33-1,3.5703058,대안공간 루프,서울 마포구 서교동 335-11,와우산,서울 마포구 창전동 3-243,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
,,,,포멜로빈 공덕점,서울 마포구 공덕동 478,3.5703058,얘기아트씨어터,서울 마포구 노고산동 12-74,신촌대학탐방나들길,서울 서대문구 대현동,에버8,호텔,3.5273962,서울 서대문구 대현동 104-5
,,,,클로리스 신촌점,서울 서대문구 창천동 13-35,3.5703058,이화여자대학교 대강당,서울 서대문구 대현동 11-1,노고산,서울 마포구 대흥동 산 1-30,호텔S,모텔,0.7923341,서울 마포구 노고산동 109-154
램랜드,한식,3.551354,서울 마포구 용강동 494-32,북티크,서울 마포구 신수동 88-131,3.5703058,스페이스한강,서울 마포구 창전동 6-133,노고산,서울 마포구 대흥동 산 1-30,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
복성각 마포본점,중식,3.4675794,서울 마포구 도화동 173,브루니치,서울 마포구 공덕동 476,3.5703058,원픽홀,서울 마포구 노고산동 31-39,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,넘버25호텔 신촌점,모텔,0.7923341,서울 마포구 노고산동 106-10
정정 공덕1호점,중식,3.4675794,서울 마포구 대흥동 466-5,두드림,서울 마포구 노고산동 31-158,3.5703058,포스트극장,서울 마포구 창전동 5-92,공덕시장족발골목,서울 마포구 공덕동 256-10,신촌월호텔,모텔,0.7923341,서울 서대문구 대현동 104-15
부영각,중식,3.4675794,서울 마포구 용강동 494-61,메가MGC커피 마포용강점,서울 마포구 염리동 174-18,3.5703058,노무현사료관,서울 마포구 신수동 371-16,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,에버8,호텔,3.5273962,서울 서대문구 대현동 104-5
,,,,카페겟앤쇼 공덕점,서울 마포구 도화동 572,3.5703058,대안공간 루프,서울 마포구 서교동 335-11,용마루길,서울 용산구 용문동 36-17,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
마포나루 도화본점,한식,3.551354,서울 마포구 도화동 201-39,프릳츠 도화점,서울 마포구 도화동 179-9,3.5703058,예스24 원더로크홀,서울 서대문구 창천동 20-25,홍대걷고싶은거리,서울 마포구 서교동 348-40,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
,,,,메가MGC커피 마포용강점,서울 마포구 염리동 174-18,3.5703058,복합문화공간 몽향,서울 서대문구 창천동 62-11,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,호텔 나루 서울 엠갤러리,호텔,3.5273962,서울 마포구 마포동 450
몽중헌 공덕점,중식,3.4675794,서울 마포구 도화동 25-13,크리크,서울 마포구 신수동 22-14,3.5703058,서강대학교 박물관,서울 마포구 신수동 1-1,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
육시리 마포직영점,한식,3.551354,서울 마포구 용강동 50-11,메가MGC커피 마포용강점,서울 마포구 염리동 174-18,3.5703058,긱라이브하우스,서울 마포구 동교동 185-10,홍대클럽거리,서울 마포구 서교동 361-12,성도모텔,모텔,0.7923341,서울 마포구 노고산동 106-77
,,,,스타벅스 마포염리점,서울 마포구 염리동 168-9,3.5703058,KP갤러리온,서울 마포구 용강동 43-6,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
마포나루 도화본점,한식,3.551354,서울 마포구 도화동 201-39,포멜로빈 공덕점,서울 마포구 공덕동 478,3.5703058,복합문화공간 몽향,서울 서대문구 창천동 62-11,용마루길,서울 용산구 용문동 36-17,에버8,호텔,3.5273962,서울 서대문구 대현동 104-5
몽중헌 공덕점,중식,3.4675794,서울 마포구 도화동 25-13,나이스 워크 투데이,서울 마포구 신수동 35-8,3.5703058,금호아트홀연세,서울 서대문구 신촌동 134,홍대예술의거리,서울 마포구 서교동,넘버25호텔 신촌점,모텔,0.7923341,서울 마포구 노고산동 106-10
수저가,중식,3.4675794,서울 마포구 신수동 89-10,메가MGC커피 대흥역점,서울 마포구 대흥동 260,3.5703058,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,이화52번가,서울 서대문구 대현동 33-9,피터캣,모텔,0.7923341,서울 마포구 노고산동 106-25
천장어 마포대흥역점,한식,3.551354,서울 마포구 염리동 155-12,카페대흥,서울 마포구 대흥동 255-2,3.5703058,마포아트센터 스튜디오3,서울 마포구 대흥동 30-3,홍대땡땡거리,서울 마포구 동교동 190-1,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
개성손만두 마포점,한식,3.551354,서울 마포구 대흥동 337-80,누아네,서울 마포구 대흥동 241-1,3.5703058,백범김구기념관,서울 용산구 효창동 255,마포음식문화거리,서울 마포구 용강동 45-15,애니타임호텔,모텔,0.7923341,서울 서대문구 창천동 29-51
,,,,홉커피,서울 마포구 대흥동 253,3.5703058,AC'SCENT(악센트),서울 서대문구 창천동 52-23,홍대벽화거리,서울 마포구 상수동 88-23,굿타임호텔,모텔,0.7923341,서울 서대문구 대현동 104-41
매일스시횟집,일식,3.3697042,서울 마포구 염리동 95-1,클로드커피,서울 마포구 대흥동 244-2,3.5703058,노무현사료관,서울 마포구 신수동 371-16,공덕소담길,서울 마포구 공덕동,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
신촌즉석생우동,일식,3.3697042,서울 마포구 대흥동 801-13,스타벅스 마포용강동점,서울 마포구 용강동 112-2,3.5703058,노무현사료관,서울 마포구 신수동 371-16,홍대클럽거리,서울 마포구 서교동 361-12,호텔제이드,모텔,0.7923341,서울 서대문구 창천동 29-49
,,,,홉커피,서울 마포구 대흥동 253,3.5703058,AOR라이브클럽,서울 마포구 서교동 325-26,마포음식문화거리,서울 마포구 용강동 45-15,서울큐브이화,게스트하우스,1.6099991,서울 마포구 염리동 9-124
서울안심축산 마포직영점,한식,3.551354,서울 마포구 용강동 67-1,그로토,서울 마포구 도화동 184-22,3.5703058,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,노고산,서울 마포구 대흥동 산 1-30,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
복성각 마포본점,중식,3.4675794,서울 마포구 도화동 173,투썸플레이스 대흥역점,서울 마포구 염리동 180-11,3.5703058,KT&G상상마당 홍대,서울 마포구 서교동 367-5,용강상점가,서울 마포구 용강동 40-5,글래드 마포,호텔,3.5273962,서울 마포구 도화동 25-13
,,,,커피향깊은그한옥,서울 마포구 염리동 157-12,3.5703058,금호아트홀연세,서울 서대문구 신촌동 134,도화동상점가,서울 마포구 도화동 179-5,신촌시스터즈호스텔,게스트하우스,1.6099991,서울 마포구 노고산동 106-105
