음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
타코벨 신촌점,양식,3.1896348,서울 서대문구 창천동 31-28,커피랩,서울 마포구 서교동 327-19,3.7050295,신촌아리수스트로 공연장,서울 서대문구 창천동 31-119,연세대학교 백양로,서울 서대문구 신촌동 134,애니타임호텔,모텔,0.6758934,서울 서대문구 창천동 29-51
가화만사성,중식,3.5432267,서울 서대문구 창천동 57-8,카페공명 연남점,서울 마포구 동교동 146-8,3.7050295,4233마음센터,서울 마포구 동교동 204-45,홍대클럽거리,서울 마포구 서교동 361-12,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
미도인 신촌,일식,3.3941836,서울 서대문구 창천동 45-12,호밀밭,서울 서대문구 창천동 4-77,3.7050295,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,한강밤섬 철새조망대,서울 영등포구 여의도동 83-6,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
,,,,카페공명 연남점,서울 마포구 동교동 146-8,3.7050295,극장PLOT,서울 서대문구 창천동 13-21,홍대예술의거리 나들길,서울 마포구 창전동,H에비뉴호텔 신촌이대점,호텔,3.6303859,서울 마포구 노고산동 1-74
철길왕갈비살,한식,3.670209,서울 마포구 창전동 4-2,캐치카페 신촌,서울 서대문구 창천동 18-29,3.7050295,소이아트홀,서울 서대문구 창천동 57-41,메타세콰이어길,서울 서대문구 연희동 산 2-2,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
공릉닭한마리,한식,3.670209,서울 서대문구 대현동 104-69,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7050295,스튜디오리움,서울 서대문구 대신동 85,성산,서울 마포구 성산동,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
복성각,중식,3.5432267,서울 서대문구 창천동 31-8,러빈허플라워&갤러리카페,서울 마포구 동교동 177-12,3.7050295,디앤디,서울 서대문구 창천동 53-83,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
꼬숑돈까스,일식,3.3941836,서울 서대문구 창천동 31-26,와플잇업 이대2호점,서울 서대문구 대현동 27-17,3.7050295,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,와우산,서울 마포구 창전동 3-243,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
철길왕갈비살,한식,3.670209,서울 마포구 창전동 4-2,더파이홀,서울 서대문구 창천동 57-61,3.7050295,AOR라이브클럽,서울 마포구 서교동 325-26,메타세콰이어길,서울 서대문구 연희동 산 2-2,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
,,,,아메노히커피점,서울 마포구 동교동 184-12,3.7050295,서강대학교메리홀 소극장,서울 마포구 신수동 1-1,안산벚꽃길,서울 서대문구 연희동,호텔가을,모텔,0.6758934,서울 서대문구 창천동 29-41
,,,,룸익스케이프 블랙점,서울 서대문구 창천동 18-11,3.7050295,디앤디,서울 서대문구 창천동 53-83,한강밤섬 철새조망대,서울 영등포구 여의도동 83-6,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
신촌수제비,한식,3.670209,서울 서대문구 창천동 30-10,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7050295,예스24 원더로크홀,서울 서대문구 창천동 20-25,홍대땡땡거리,서울 마포구 동교동 190-1,바론드호텔,모텔,0.6758934,서울 서대문구 창천동 29-11
타코벨 신촌점,양식,3.1896348,서울 서대문구 창천동 31-28,포티드,서울 서대문구 창천동 5-58,3.7050295,구름아래소극장,서울 마포구 서교동 337-11,홍대예술의거리,서울 마포구 서교동,앰배서더호텔 머큐어 서울홍대,호텔,3.6303859,서울 마포구 동교동 162-5
타코벨 신촌점,양식,3.1896348,서울 서대문구 창천동 31-28,휴,서울 서대문구 창천동 18-5,3.7050295,포스트극장,서울 마포구 창전동 5-92,이화52번가,서울 서대문구 대현동 33-9,넘버25호텔 신촌점,모텔,0.6758934,서울 마포구 노고산동 106-10
피자몰 신촌점,양식,3.1896348,서울 마포구 노고산동 57-1,커피랩,서울 마포구 서교동 327-19,3.7050295,KT&G상상마당 홍대,서울 마포구 서교동 367-5,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,신라스테이 마포,호텔,3.6303859,서울 마포구 도화동 570
,,,,댓커피,서울 마포구 노고산동 19-52,3.7050295,H스테이지,서울 마포구 서교동 344-12,염천교수제화거리,서울 중구 의주로2가 61-23,홀리데이인익스프레스 서울홍대,호텔,3.6303859,서울 마포구 동교동 192-45
이빠네마그릴,양식,3.1896348,서울 서대문구 창천동 18-11,설빙 신촌점,서울 서대문구 창천동 33-43,3.7050295,긱라이브하우스,서울 마포구 동교동 185-10,공덕시장족발골목,서울 마포구 공덕동 256-10,애니타임호텔,모텔,0.6758934,서울 서대문구 창천동 29-51
완차이,중식,3.5432267,서울 서대문구 창천동 5-35,더파이홀,서울 서대문구 창천동 57-61,3.7050295,금호아트홀연세,서울 서대문구 신촌동 134,마포음식문화거리,서울 마포구 용강동 45-15,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
여우골 신촌점,일식,3.3941836,서울 서대문구 창천동 62-11,투썸플레이스 신촌연세로점,서울 서대문구 창천동 31-27,3.7050295,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,신촌피아노거리,서울 서대문구 창천동 30-16,24게스트하우스 원룸텔 신촌에비뉴엘점,게스트하우스,1.9079586,서울 서대문구 창천동 31-92
꼬숑돈까스,일식,3.3941836,서울 서대문구 창천동 31-26,파파,서울 서대문구 창천동 62-2,3.7050295,이한열기념관,서울 마포구 노고산동 54-38,이대앞사주카페거리,서울 서대문구 대현동,호텔밀하우스,호텔,3.6303859,서울 서대문구 창천동 29-56
미도인 신촌,일식,3.3941836,서울 서대문구 창천동 45-12,커피크레페 본점,서울 서대문구 창천동 30-10,3.7050295,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,홍대예술의거리 나들길,서울 마포구 창전동,홀리데이인익스프레스 서울홍대,호텔,3.6303859,서울 마포구 동교동 192-45
,,,,커피랩,서울 마포구 서교동 327-19,3.7050295,이화여자대학교 대강당,서울 서대문구 대현동 11-1,이대앞사주카페거리,서울 서대문구 대현동,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
,,,,문베어,서울 서대문구 창천동 5-21,3.7050295,H스테이지,서울 마포구 서교동 344-12,신촌피아노거리,서울 서대문구 창천동 30-16,H에비뉴호텔 신촌이대점,호텔,3.6303859,서울 마포구 노고산동 1-74
,,,,가비애,서울 마포구 서교동 337-3,3.7050295,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,신촌대학탐방나들길,서울 서대문구 대현동,호텔루씨르,모텔,0.6758934,서울 서대문구 창천동 29-68
가화만사성,중식,3.5432267,서울 서대문구 창천동 57-8,문베어,서울 서대문구 창천동 5-21,3.7050295,디앤디,서울 서대문구 창천동 53-83,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,호텔루씨르,모텔,0.6758934,서울 서대문구 창천동 29-68
꼬숑돈까스,일식,3.3941836,서울 서대문구 창천동 31-26,스타벅스 연대점,서울 서대문구 창천동 33-9,3.7050295,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,안산벚꽃길,서울 서대문구 연희동,신라스테이 마포,호텔,3.6303859,서울 마포구 도화동 570
부엉이돈가스 신촌점,일식,3.3941836,서울 서대문구 창천동 5-70,그릭데이 이대본점,서울 서대문구 대현동 27-33,3.7050295,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,이화52번가,서울 서대문구 대현동 33-9,호텔밀하우스,호텔,3.6303859,서울 서대문구 창천동 29-56
복성각,중식,3.5432267,서울 서대문구 창천동 31-8,투썸플레이스 신촌연세로점,서울 서대문구 창천동 31-27,3.7050295,AC'SCENT(악센트),서울 서대문구 창천동 52-23,안산자락길,서울 서대문구 봉원동,신라스테이 마포,호텔,3.6303859,서울 마포구 도화동 570
연어초밥,일식,3.3941836,서울 서대문구 대현동 101-10,버터밀크,서울 마포구 창전동 6-131,3.7050295,AOR라이브클럽,서울 마포구 서교동 325-26,노고산,서울 마포구 대흥동 산 1-30,굿타임호텔,모텔,0.6758934,서울 서대문구 대현동 104-41
부엉이돈가스 신촌점,일식,3.3941836,서울 서대문구 창천동 5-70,스타벅스 연대점,서울 서대문구 창천동 33-9,3.7050295,디앤디,서울 서대문구 창천동 53-83,신촌대학탐방나들길,서울 서대문구 대현동,브라운스위트호텔 신촌센트럴,호텔,3.6303859,서울 마포구 노고산동 57-26
벽제갈비 신촌점,한식,3.670209,서울 서대문구 창천동 13-20,스타벅스 신촌오거리점,서울 마포구 노고산동 54-1,3.7050295,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,연세로,서울 서대문구 창천동,H에비뉴호텔 신촌이대점,호텔,3.6303859,서울 마포구 노고산동 1-74
,,,,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7050295,연세대학교 박물관,서울 서대문구 신촌동 134,홍대패션거리,서울 마포구 서교동 348-78,준게스트하우스,게스트하우스,1.9079586,서울 마포구 서교동 335-36
