음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
,,,,아비아채 서울홍대점,서울 마포구 동교동 177-24,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,도화동상점가,서울 마포구 도화동 179-5,신라스테이 마포,호텔,3.6051664,서울 마포구 도화동 570
꼬숑돈까스,일식,3.4015756,서울 서대문구 창천동 31-26,커피빈 신촌점,서울 서대문구 창천동 18-29,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,망원 초록길,서울 마포구 망원동 218-7,바론드호텔,모텔,0.69906217,서울 서대문구 창천동 29-11
이빠네마그릴,양식,3.209776,서울 서대문구 창천동 18-11,스타벅스 서강대점,서울 마포구 신수동 63-14,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,공덕소담길,서울 마포구 공덕동,위드모텔,모텔,0.69906217,서울 마포구 노고산동 106-91
기꾸스시,일식,3.4015756,서울 서대문구 창천동 72-23,러빈허플라워&갤러리카페,서울 마포구 동교동 177-12,3.6858723,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,홍대클럽거리,서울 마포구 서교동 361-12,라이즈 오토그래프 컬렉션,호텔,3.6051664,서울 마포구 서교동 354-5
,,,,가비애,서울 마포구 서교동 337-3,3.6858726,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,소금길,서울 마포구 염리동 9-245,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
을밀대 본점,한식,3.6435938,서울 마포구 염리동 147-6,아비아채 서울홍대점,서울 마포구 동교동 177-24,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,망원 초록길,서울 마포구 망원동 218-7,호텔S,모텔,0.6990621,서울 마포구 노고산동 109-154
여우골 신촌점,일식,3.4015756,서울 서대문구 창천동 62-11,커피랩,서울 마포구 서교동 327-19,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,망원 초록길,서울 마포구 망원동 218-7,호텔밀하우스,호텔,3.6051664,서울 서대문구 창천동 29-56
부탄츄 신촌점,일식,3.4015756,서울 서대문구 창천동 62-10,써밋컬쳐 신촌점,서울 마포구 노고산동 56-15,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,이대앞사주카페거리,서울 서대문구 대현동,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
가화만사성,중식,3.539497,서울 서대문구 창천동 57-8,스타벅스 서강광흥창역점,서울 마포구 창전동 130,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,안산,서울 서대문구 봉원동 산 1,신촌시스터즈호스텔,게스트하우스,1.8757547,서울 마포구 노고산동 106-105
복성각,중식,3.539497,서울 서대문구 창천동 31-8,설빙 신촌점,서울 서대문구 창천동 33-43,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,밤섬,서울 영등포구 여의도동 84-3,홀리데이인익스프레스 서울홍대,호텔,3.6051664,서울 마포구 동교동 192-45
가화만사성,중식,3.539497,서울 서대문구 창천동 57-8,나비카페,서울 마포구 노고산동 31-208,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,공덕소담길,서울 마포구 공덕동,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
이빠네마그릴,양식,3.209776,서울 서대문구 창천동 18-11,스타벅스 신촌명물거리점,서울 서대문구 창천동 13-19,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,스머프 매직 포레스트 홍대점,서울 마포구 동교동 170-12,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
,,,,커피크레페 본점,서울 서대문구 창천동 30-10,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,용강상점가,서울 마포구 용강동 40-5,H에비뉴호텔 신촌이대점,호텔,3.6051664,서울 마포구 노고산동 1-74
복성각,중식,3.539497,서울 서대문구 창천동 31-8,커피빈 신촌점,서울 서대문구 창천동 18-29,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,한강밤섬 철새조망대,서울 영등포구 여의도동 83-6,준게스트하우스,게스트하우스,1.8757547,서울 마포구 서교동 335-36
,,,,커피랩,서울 마포구 서교동 327-19,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,신촌피아노거리,서울 서대문구 창천동 30-16,신촌시스터즈호스텔,게스트하우스,1.8757547,서울 마포구 노고산동 106-105
,,,,커피크레페 본점,서울 서대문구 창천동 30-10,3.6858723,복합문화공간 몽향,서울 서대문구 창천동 62-11,샤이니숲,서울 영등포구 여의도동 82-9,신촌시스터즈호스텔,게스트하우스,1.8757547,서울 마포구 노고산동 106-105
기꾸스시,일식,3.4015756,서울 서대문구 창천동 72-23,스타벅스 신촌명물거리점,서울 서대문구 창천동 13-19,3.6858723,(주)복합문화공간사이,서울 마포구 서교동 377-20,서울명예도로 노벨길(경의선숲길 홍대입구역방면),서울 마포구 동교동 190-66,호텔S,모텔,0.6990621,서울 마포구 노고산동 109-154
,,,,스타벅스 서강광흥창역점,서울 마포구 창전동 130,3.6858723,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,신촌이대거리,서울 서대문구 창천동,앰배서더호텔 머큐어 서울홍대,호텔,3.6051664,서울 마포구 동교동 162-5
여우골 신촌점,일식,3.4015756,서울 서대문구 창천동 62-11,스타벅스 서강대점,서울 마포구 신수동 63-14,3.6858723,뮤직쇼웨딩,서울 마포구 서교동 357-4,마포음식문화거리,서울 마포구 용강동 45-15,호텔S,모텔,0.6990621,서울 마포구 노고산동 109-154
설레임삼겹살1989,한식,3.6435938,서울 서대문구 창천동 57-40,아비아채 서울홍대점,서울 마포구 동교동 177-24,3.6858723,서울생활문화센터 서교스퀘어,서울 마포구 서교동 494,석진숲,서울 영등포구 여의도동 85-6,신촌월호텔,모텔,0.69906217,서울 서대문구 대현동 104-15
