음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
유즈라멘 만리동점,일식,3.3826594,서울 중구 만리동1가 53-8,메가MGC커피 아현중앙점,서울 마포구 아현동 347-1,3.7237153,손기정기념관,서울 중구 만리동2가 6-1,마포전골목,서울 마포구 공덕동,H에비뉴호텔 신촌이대점,호텔,3.659534,서울 마포구 노고산동 1-74
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,카페문,서울 서대문구 대현동 53-29,3.7237153,서소문성지역사박물관,서울 중구 의주로2가 16-4,공덕시장족발골목,서울 마포구 공덕동 256-10,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
,,,,동네커피,서울 마포구 아현동 692,3.723715,농협중앙회 쌀박물관,서울 중구 충정로1가 81-3,도화동상점가,서울 마포구 도화동 179-5,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,스타벅스 마포경찰서후문점,서울 마포구 아현동 618-19,3.723715,연세대학교 대강당,서울 서대문구 신촌동 134,신촌대학탐방나들길,서울 서대문구 대현동,K그랜드호텔 서울,호텔,3.659534,서울 용산구 동자동 43-59
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,머스타드,서울 마포구 염리동 9-54,3.7237153,추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1,마포전골목,서울 마포구 공덕동,데이빗하우스 이화,게스트하우스,1.9375342,서울 서대문구 대현동 56-49
연어초밥,일식,3.3826594,서울 서대문구 대현동 101-10,메가MGC커피 아현역점,서울 서대문구 북아현동 1015,3.723715,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,덕수궁 즉조당,서울 중구 정동 5-1,호텔아트리움바비엥2,호텔,3.659534,서울 중구 의주로1가 25-10
유즈라멘 만리동점,일식,3.3826594,서울 중구 만리동1가 53-8,스타벅스 애오개역점,서울 마포구 아현동 738,3.723715,서울유관순기념관,서울 중구 순화동 1-1,도화동상점가,서울 마포구 도화동 179-5,프레이저플레이스 남대문서울,호텔,3.659534,서울 중구 남대문로4가 17-7
,,,,카페침묵,서울 서대문구 북아현동 156-14,3.7237153,문화역서울284,서울 중구 봉래동2가 122-28,소금길,서울 마포구 염리동 9-245,호텔아트리움바비엥2,호텔,3.659534,서울 중구 의주로1가 25-10
북성해장국,한식,3.7003355,서울 서대문구 북아현동 154-1,더벤티 아현역점,서울 마포구 아현동 327-25,3.723715,서강대학교 메리홀 대극장,서울 마포구 신수동 1-1,이화52번가,서울 서대문구 대현동 33-9,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,굴레방커피,서울 마포구 아현동 332-7,3.723715,상상헌,서울 서대문구 북아현동 3-134,신촌이대거리,서울 서대문구 창천동,호텔모모,모텔,0.6523689,서울 서대문구 창천동 20-38
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,밀랑스,서울 마포구 대흥동 2-30,3.723715,이화여자대학교 대강당,서울 서대문구 대현동 11-1,염천교수제화거리,서울 중구 의주로2가 61-23,금강모텔,모텔,0.6523689,서울 용산구 서계동 229-3
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,이디야커피 애오개역점,서울 마포구 아현동 733,3.723715,상상헌,서울 서대문구 북아현동 3-134,덕수궁,서울 중구 정동 5-1,신촌월호텔,모텔,0.6523689,서울 서대문구 대현동 104-15
황금콩밭,한식,3.7003355,서울 마포구 아현동 424-11,이디야커피 애오개역점,서울 마포구 아현동 733,3.723715,백범김구기념관,서울 용산구 효창동 255,공덕소담길,서울 마포구 공덕동,비욘드스위트,호텔,3.659534,서울 서대문구 대현동 101-9
,,,,카페페라 유니크점,서울 서대문구 대현동 33-8,3.723715,한예진아트홀,서울 서대문구 대현동 67-11,이화52번가,서울 서대문구 대현동 33-9,유에이치스위트 더서울,호텔,3.659534,서울 중구 만리동1가 33-1
유즈라멘 만리동점,일식,3.3826594,서울 중구 만리동1가 53-8,스타벅스 이대ECC점,서울 서대문구 대현동 11-1,3.723715,손기정기념관,서울 중구 만리동2가 6-1,공덕시장족발골목,서울 마포구 공덕동 256-10,랑호텔,모텔,0.6523689,서울 중구 중림동 128-40
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,굴레방커피,서울 마포구 아현동 332-7,3.723715,서울역사박물관,서울 종로구 신문로2가 2-1,남대문칼국수골목,서울 중구 남창동 60-3,ENA스위트호텔,호텔,3.659534,서울 중구 서소문동 120-13
서울부띠끄,양식,3.1644478,서울 중구 만리동1가 62-1,굴레방커피,서울 마포구 아현동 332-7,3.723715,서대문형무소역사관,서울 서대문구 현저동 101,신촌피아노거리,서울 서대문구 창천동 30-16,데이빗하우스 이화,게스트하우스,1.9375342,서울 서대문구 대현동 56-49
대박집,한식,3.7003355,서울 서대문구 북아현동 130-4,스타벅스 이대R점,서울 서대문구 대현동 54-4,3.723715,국립현대미술관 덕수궁,서울 중구 정동 5-1,삼거리꽃길,서울 서대문구 대현동,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
서울부띠끄,양식,3.1644478,서울 중구 만리동1가 62-1,푸링,서울 마포구 아현동 699,3.723715,이화여자대학교 김영의홀,서울 서대문구 대현동 11-1,연세로,서울 서대문구 창천동,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,낙랑파라 아현점,서울 서대문구 북아현동 156-21,3.723715,백범김구기념관,서울 용산구 효창동 255,아현동전골목,서울 마포구 아현동,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,스타벅스 충정로역점,서울 서대문구 충정로3가 470,3.7237153,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,남대문갈치조림골목,서울 중구 남창동 34-155,글래드 마포,호텔,3.659534,서울 마포구 도화동 25-13
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,투썸플레이스 마포대흥점,서울 마포구 대흥동 16-66,3.723715,이화아트센터,서울 서대문구 대현동 11-1,염천교수제화거리,서울 중구 의주로2가 61-23,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
가야가야 이대점,일식,3.3826594,서울 서대문구 대현동 56-21,메가MGC커피 아현역점,서울 서대문구 북아현동 1015,3.723715,식민지역사박물관,서울 용산구 청파동2가 42-8,정동전망대,서울 중구 서소문동 37,프레이저플레이스 남대문서울,호텔,3.659534,서울 중구 남대문로4가 17-7
,,,,스타벅스 이대R점,서울 서대문구 대현동 54-4,3.723715,아트스페이스 라프,서울 서대문구 북아현동 177-1,남대문칼국수골목,서울 중구 남창동 60-3,조선호텔 포포인츠바이쉐라톤 서울역,호텔,3.659534,서울 용산구 동자동 56
이요이요스시 공덕1호점,일식,3.3826594,서울 마포구 공덕동 469,투썸플레이스 마포대흥점,서울 마포구 대흥동 16-66,3.723715,예스24 원더로크홀,서울 서대문구 창천동 20-25,도화동상점가,서울 마포구 도화동 179-5,호텔엘리,모텔,0.6523689,서울 서대문구 대현동 110-35
오공일,한식,3.7003355,서울 중구 중림동 401-4,낙랑파라 아현점,서울 서대문구 북아현동 156-21,3.723715,아트스페이스 라프,서울 서대문구 북아현동 177-1,덕수궁 즉조당,서울 중구 정동 5-1,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
,,,,피피커피 라운지,서울 서대문구 북아현동 220-9,3.723715,예스24 원더로크홀,서울 서대문구 창천동 20-25,신촌피아노거리,서울 서대문구 창천동 30-16,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,이디야커피 애오개역점,서울 마포구 아현동 733,3.723715,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,덕수궁산책길,서울 종로구 신문로2가,소라모텔,모텔,0.6523689,서울 서대문구 대현동 101-15
호남보신탕,한식,3.7003355,서울 서대문구 북아현동 125-25,카페침묵,서울 서대문구 북아현동 156-14,3.7237153,그라운드시소 센트럴,서울 중구 남대문로5가 831,공덕소담길,서울 마포구 공덕동,프레이저플레이스 남대문서울,호텔,3.659534,서울 중구 남대문로4가 17-7
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,메가MGC커피 이대점,서울 서대문구 대현동 54-11,3.723715,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,소금길,서울 마포구 염리동 9-245,데이빗하우스 이화,게스트하우스,1.9375342,서울 서대문구 대현동 56-49
대박집,한식,3.7003355,서울 서대문구 북아현동 130-4,북카페파오,서울 서대문구 대현동 54-4,3.7237153,구세군아트홀,서울 서대문구 충정로3가 476,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,서울큐브이화,게스트하우스,1.9375342,서울 마포구 염리동 9-124
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,스타벅스 이대R점,서울 서대문구 대현동 54-4,3.723715,서울마포음악창작소,서울 마포구 아현동 610-1,남대문갈치조림골목,서울 중구 남창동 34-155,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,카페페라 유니크점,서울 서대문구 대현동 33-8,3.723715,안팎,서울 서대문구 북아현동 1-609,마포전골목,서울 마포구 공덕동,라마다호텔앤스위트 서울남대문,호텔,3.659534,서울 중구 순화동 151
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,북카페파오,서울 서대문구 대현동 54-4,3.7237153,국립현대미술관 덕수궁,서울 중구 정동 5-1,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,테마모텔,모텔,0.6523689,서울 서대문구 냉천동 164
,,,,피피커피 라운지,서울 서대문구 북아현동 220-9,3.723715,가톨릭 성음악아카데미 최양업홀,서울 중구 중림동 149-83,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,신라스테이 마포,호텔,3.659534,서울 마포구 도화동 570
,,,,내사랑,서울 서대문구 대현동 67-80,3.723715,연세대학교 대강당,서울 서대문구 신촌동 134,경희궁 숭정전,서울 종로구 신문로2가 2-1,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.723715,이화여자대학교 100주년기념박물관,서울 서대문구 대현동 11-1,이대앞사주카페거리,서울 서대문구 대현동,데이빗하우스 이화,게스트하우스,1.9375342,서울 서대문구 대현동 56-49
호남보신탕,한식,3.7003355,서울 서대문구 북아현동 125-25,피피커피 라운지,서울 서대문구 북아현동 220-9,3.723715,연세대학교 노천극장,서울 서대문구 신촌동 134,덕수궁 즉조당,서울 중구 정동 5-1,신촌월호텔,모텔,0.6523689,서울 서대문구 대현동 104-15
서울부띠끄,양식,3.1644478,서울 중구 만리동1가 62-1,스타벅스 마포경찰서후문점,서울 마포구 아현동 618-19,3.723715,이화여자대학교 김영의홀,서울 서대문구 대현동 11-1,신촌피아노거리,서울 서대문구 창천동 30-16,H에비뉴호텔 신촌이대점,호텔,3.659534,서울 마포구 노고산동 1-74
원조봉순게장,한식,3.7003355,서울 서대문구 충정로3가 480,피피커피 라운지,서울 서대문구 북아현동 220-9,3.723715,한예진아트홀,서울 서대문구 대현동 67-11,삼거리꽃길,서울 서대문구 대현동,호텔모모,모텔,0.6523689,서울 서대문구 창천동 20-38
,,,,투썸플레이스 마포대흥점,서울 마포구 대흥동 16-66,3.723715,김옥길기념관,서울 서대문구 대신동 92,경희궁 숭정전,서울 종로구 신문로2가 2-1,롯데시티호텔 마포,호텔,3.659534,서울 마포구 공덕동 467
밀리네해물탕 애오개역점,한식,3.7003355,서울 마포구 아현동 733,메가MGC커피 아현중앙점,서울 마포구 아현동 347-1,3.7237153,국립현대미술관 덕수궁,서울 중구 정동 5-1,연세로,서울 서대문구 창천동,소라모텔,모텔,0.6523689,서울 서대문구 대현동 101-15
,,,,메가MGC커피 이대점,서울 서대문구 대현동 54-11,3.723715,서울역사박물관,서울 종로구 신문로2가 2-1,염천교수제화거리,서울 중구 의주로2가 61-23,필스테이 이화부띠끄점,게스트하우스,1.9375342,서울 서대문구 대현동 56-126
유즈라멘 만리동점,일식,3.3826594,서울 중구 만리동1가 53-8,스타벅스 이대R점,서울 서대문구 대현동 54-4,3.723715,김옥길기념관,서울 서대문구 대신동 92,서울명예도로 순헌황귀비길,서울 용산구 청파동2가 54-1,비욘드스위트,호텔,3.659534,서울 서대문구 대현동 101-9
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,이디야커피 애오개역점,서울 마포구 아현동 733,3.723715,백범김구기념관,서울 용산구 효창동 255,경희궁,서울 종로구 신문로2가 2-1,굿타임호텔,모텔,0.6523689,서울 서대문구 대현동 104-41
가야가야 이대점,일식,3.3826594,서울 서대문구 대현동 56-21,이디야커피 애오개역점,서울 마포구 아현동 733,3.723715,이화아트센터,서울 서대문구 대현동 11-1,경희궁,서울 종로구 신문로2가 2-1,유에이치스위트 더서울,호텔,3.659534,서울 중구 만리동1가 33-1
란주탕슉,중식,tensor(3.5440),서울 서대문구 대현동 53-20,컴포즈커피 북아현점,서울 서대문구 북아현동 1015,3.723715,서울유관순기념관,서울 중구 순화동 1-1,아현동전골목,서울 마포구 아현동,랑호텔,모텔,0.6523689,서울 중구 중림동 128-40
호남보신탕,한식,3.7003355,서울 서대문구 북아현동 125-25,머스타드,서울 마포구 염리동 9-54,3.7237153,서대문형무소역사관,서울 서대문구 현저동 101,연세로,서울 서대문구 창천동,소라모텔,모텔,0.6523689,서울 서대문구 대현동 101-15
,,,,내사랑,서울 서대문구 대현동 67-80,3.723715,농업박물관,서울 중구 충정로1가 75-1,덕수궁산책길,서울 종로구 신문로2가,호텔아트리움바비엥2,호텔,3.659534,서울 중구 의주로1가 25-10
만리재비스트로,양식,3.1644478,서울 중구 만리동1가 62-11,북카페파오,서울 서대문구 대현동 54-4,3.7237153,마포아트센터 갤러리맥,서울 마포구 대흥동 30-3,연세로,서울 서대문구 창천동,디케이하우스,게스트하우스,1.9375342,서울 서대문구 대현동 90-37
