음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
꼬숑돈까스,일식,3.3172212,서울 서대문구 창천동 31-26,꽃피다이화다방,서울 서대문구 대현동 37-1,3.7692275,서강대학교메리홀 소극장,서울 마포구 신수동 1-1,연세로,서울 서대문구 창천동,호텔가을,모텔,0.58224434,서울 서대문구 창천동 29-41
완차이,중식,3.5214744,서울 서대문구 창천동 5-35,티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7692275,금호아트홀연세,서울 서대문구 신촌동 134,홍대벽화거리,서울 마포구 상수동 88-23,호텔가을,모텔,0.58224434,서울 서대문구 창천동 29-41
아민 이화,양식,3.0544405,서울 서대문구 대현동 34-23,티앙팡 오후에 홍차 1호점,서울 서대문구 대현동 54-4,3.7692275,마포아트센터 플레이맥,서울 마포구 대흥동 30-3,신촌이대거리,서울 서대문구 창천동,비욘드스위트,호텔,3.7650409,서울 서대문구 대현동 101-9
,,,,내사랑,서울 서대문구 대현동 67-80,3.7692275,복합문화공간 몽향,서울 서대문구 창천동 62-11,마포갈매기골목,서울 마포구 도화동 169-3,호텔가을,모텔,0.58224434,서울 서대문구 창천동 29-41
부엉이돈가스 신촌점,일식,3.3172212,서울 서대문구 창천동 5-70,그릭데이 이대본점,서울 서대문구 대현동 27-33,3.7692275,서울마포음악창작소,서울 마포구 아현동 610-1,소금길,서울 마포구 염리동 9-245,필스테이 이화부띠끄점,게스트하우스,2.0114238,서울 서대문구 대현동 56-126
유야케도쿄,일식,3.3172212,서울 서대문구 대현동 37-30,꽃피다이화다방,서울 서대문구 대현동 37-1,3.7692275,구름아래소극장,서울 마포구 서교동 337-11,와우산,서울 마포구 창전동 3-243,호텔제이드,모텔,0.58224434,서울 서대문구 창천동 29-49
춘천집닭갈비막국수,한식,3.8059044,서울 서대문구 창천동 57-8,독수리다방,서울 서대문구 창천동 31-4,3.7692275,서강대학교 곤자가홀,서울 마포구 대흥동 22-60,홍대걷고싶은거리,서울 마포구 서교동 348-40,호텔가을,모텔,0.58224434,서울 서대문구 창천동 29-41
복성각,중식,3.5214744,서울 서대문구 창천동 31-8,호밀밭,서울 서대문구 창천동 4-77,3.7692275,신촌아리수스트로 공연장,서울 서대문구 창천동 31-119,와우산,서울 마포구 창전동 3-243,롯데시티호텔 마포,호텔,3.7650409,서울 마포구 공덕동 467
천진분식,중식,3.5214744,서울 서대문구 대현동 56-24,머스타드,서울 마포구 염리동 9-54,3.7692275,긱라이브하우스,서울 마포구 동교동 185-10,공덕소담길,서울 마포구 공덕동,서울큐브이화,게스트하우스,2.0114238,서울 마포구 염리동 9-124
완차이,중식,3.5214744,서울 서대문구 창천동 5-35,휴,서울 서대문구 창천동 18-5,3.7692275,추계예술대학교 콘서트홀,서울 서대문구 북아현동 190-1,홍대예술의거리 나들길,서울 마포구 창전동,H에비뉴호텔 신촌이대점,호텔,3.7650409,서울 마포구 노고산동 1-74
